Info 0    [12:18:33.247] Starting TS Server
Info 1    [12:18:33.247] Version: 4.7.4
Info 2    [12:18:33.247] Arguments: /usr/bin/node /home/hamza/.emacs.d/.cache/lsp/npm/typescript/lib/node_modules/typescript/lib/tsserver.js --logFile /home/hamza/dev/react/digital-business-card/.log/tsserver.log --logVerbosity info --cancellationPipeName /tmp/daf270db2c03eaca681c3b98009d750e/tscancellation*
Info 3    [12:18:33.247] Platform: linux NodeVersion: 16 CaseSensitive: true
Info 4    [12:18:33.247] ServerMode: undefined syntaxOnly: false hasUnknownServerMode: undefined
Info 5    [12:18:33.256] Format host information updated
Info 6    [12:18:33.265] Search path: /home/hamza/dev/react/digital-business-card/src/components
Info 7    [12:18:33.265] For info: /home/hamza/dev/react/digital-business-card/src/components/info.jsx :: No config files found.
Info 8    [12:18:33.269] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 9    [12:18:34.727] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 1 structureChanged: true structureIsReused:: Not Elapsed: 1457.6352559924126ms
Info 10   [12:18:34.727] Project '/dev/null/inferredProject1*' (Inferred)
Info 11   [12:18:34.727] 	Files (157)

Info 12   [12:18:34.727] -----------------------------------------------
Info 13   [12:18:34.737] AutoImportProviderProject: found 5 root files in 5 dependencies in 7.964791998267174 ms
Info 14   [12:18:34.738] Starting updateGraphWorker: Project: /dev/null/autoImportProviderProject1*
Info 15   [12:18:34.809] Finishing updateGraphWorker: Project: /dev/null/autoImportProviderProject1* Version: 1 structureChanged: true structureIsReused:: Not Elapsed: 70.6017030030489ms
Info 16   [12:18:34.809] Project '/dev/null/autoImportProviderProject1*' (AutoImportProvider)
Info 17   [12:18:34.809] 	Files (127)

Info 18   [12:18:34.809] -----------------------------------------------
Info 19   [12:18:34.922] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 20   [12:18:35.060] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 2 structureChanged: true structureIsReused:: Not Elapsed: 138.1751060038805ms
Info 21   [12:18:35.060] Project '/dev/null/inferredProject1*' (Inferred)
Info 22   [12:18:35.060] 	Files (162)

Info 23   [12:18:35.060] -----------------------------------------------
Info 24   [12:18:35.060] Project '/dev/null/autoImportProviderProject1*' (AutoImportProvider)
Info 25   [12:18:35.060] 	Files (127)

Info 26   [12:18:35.060] -----------------------------------------------
Info 27   [12:18:37.360] Before ensureProjectForOpenFiles:
Info 28   [12:18:37.361] After ensureProjectForOpenFiles:
Info 29   [12:18:37.361] got projects updated in background, updating diagnostics for /home/hamza/dev/react/digital-business-card/src/components/info.jsx
